Capacity_exp,DVD_ETI_exp,ICA_exp,CCCT_exp
1.0,0.07393748286643831,0.7536304117524911,0.9642003262865665
0.9821449068909569,0.04856972637284298,0.801907448888447,0.9624412014917557
0.9628524952621079,0.03610816054605699,0.8046641043713971,0.9570596573487005
0.9627001906468794,0.032746202589099646,0.8068002881203021,0.9564906440435339
0.9616158645862067,0.03149955747825922,0.7985716874426022,0.9573223219551208
0.963401610693984,0.028151020485238692,0.8012614669319275,0.9584950718183279
0.962495660731891,0.021816568381080693,0.8112821518624083,0.9649177534951474
0.9459951747724464,0.022458637716121204,0.8039353985522842,0.9491052321781505
0.9442677981568822,0.023486637596811234,0.7991467333267129,0.9462349632913611
0.9439855931593159,0.024697042036652298,0.7999373361926777,0.9449485227776138
0.9439966367517719,0.025181147707750512,0.794898410116155,0.9534456387874416
0.9256891182793191,0.024459287430127458,0.7984144054933318,0.7811158149295426
0.9248986957348846,0.02560342462189122,0.7927043269627062,0.938035235140828
0.9243509854238904,0.028234755626447693,0.7922169922010427,0.9300808099702795
0.9052968151645979,0.03069603333103297,0.7973513914792931,0.9313235663916996
0.9044337690040911,0.035691001229882204,0.78203628341928,0.9178296622827626
0.9052642990491818,0.03718325787511221,0.7873523861094288,0.913016571392408
0.9061233209797072,0.039830887328206076,0.786460219763811,0.9201225170773998
0.9056124743436221,0.04213509596156027,0.7889009412301637,0.9186439785679124
0.9833728547982172,0.0077806976405219415,0.8401097028161993,0.901780798825234
0.9840605390714177,0.0,0.8358005013038811,0.9968586657198046
0.9643079896903192,0.006578985914802359,0.8409428248860868,1.0
0.9460372759003844,0.01551394075028026,0.836771936404319,0.9756903626731752
0.9448649329187248,0.018816966799550732,0.8347449477387403,0.9606299918176334
0.9456871333033133,0.024455758720350152,0.8300532594731562,0.9557121711161902
0.9253889464280016,0.030664253467027634,0.8275377141098998,0.9573044002762178
0.9266859962385046,0.033498006107697605,0.8224377347734596,0.9370904266311668
0.9252804490437778,0.03828914923783884,0.8227716026278836,0.9374141369563501
0.9055914570882506,0.041829577510583894,0.822787921392606,0.9318225731386517
0.907896016883389,0.04646771650781384,0.8197765794131778,0.9188887214954297
0.9917669915174374,0.08632725750038614,1.0,0.919055057077747
0.9546889387557509,0.07878518518540058,0.9197431654928241,0.9311880336949965
0.9357098976655398,0.09038493857641218,0.8691675554548515,0.943321010312246
0.9170886403896663,0.10172959589946542,0.8622254604769231,0.9244276403813508
0.9088324523540495,0.11379859878795943,0.8318762408600351,0.9052200810171898
0.8996364620985529,0.10890262229346942,0.8478683021449395,0.8860472449059029
