Capacity,DVD_ETI,ICA,CCCT
1.0,0.0,1.0,1.0
0.9965823731531277,0.00028923151125056736,0.9958646561772371,0.9955278708678822
0.9931210292709983,0.0005815967376297914,0.9916754407425588,0.9909977282887908
0.9896290017580064,0.000875904390566961,0.9874479714782283,0.9864263587808041
0.9859401074844112,0.0011872325583414491,0.9829829945317511,0.9815993283603872
0.9820998441586412,0.0015114346675439477,0.9783350222295939,0.9765753335256854
0.9781075723193127,0.002243122105195268,0.973713782090965,0.9716460128834495
0.9739431210328141,0.003424726034507461,0.9691167326597648,0.9668154347397906
0.9696377657831207,0.004868971232927499,0.9644829412004633,0.9619872385929354
0.9651851350332056,0.006691371734120455,0.9598660718597486,0.9572383995398944
0.9605434732873236,0.008669974730170562,0.9550956092026065,0.9523476923953438
0.955712700964463,0.010797192796799427,0.9501673853688318,0.947309382892926
0.9507056921972091,0.01329010379035831,0.9452132540497561,0.9423018652005236
0.9455117114126486,0.016109728136223377,0.9401990089037348,0.9372816663656739
0.9401889379192697,0.018967971199480176,0.9350435203432634,0.9321141669061153
0.9347408479130467,0.021873540059984032,0.9297557528569389,0.9268105339687497
0.9291298009538245,0.024945708932407468,0.9243523603449749,0.9214080991874288
0.9233697444007957,0.02811904938504513,0.9188158203159594,0.915877281935061
0.9174277220049124,0.03162950304277864,0.9132308702957992,0.9103482627361087
0.911297889069155,0.035497924761233715,0.9076013264966338,0.904828564460834
0.9050069160660986,0.039557811040956646,0.9018716177814569,0.8992309427046965
0.898545604396436,0.043867145103132055,0.8960611834325938,0.8935858933877201
0.8918549895745931,0.04816124523278374,0.8899553767379731,0.8876169846309977
0.8849309745241908,0.05240015298284672,0.8835277654148069,0.8812890091757037
0.8777932841111576,0.05675420933142971,0.8768937499022654,0.8747550976613329
0.8704246353901615,0.06114651980429594,0.8699907686060084,0.8679347307812741
0.8628621761351674,0.06569740380070602,0.8629292583879774,0.8609676211589368
0.8551052219911219,0.07042137317803879,0.8557160868437881,0.8538635964667582
0.8471187089259291,0.07519096975288635,0.8482395700991971,0.8464804727333642
0.8389082711159541,0.08003159142219021,0.8405202548850579,0.838844738186015
0.8304992551002447,0.08520511483421579,0.8327293537212244,0.8311850572936516
